iter	Passed	Remaining
431	1686	2217
432	1690	2213
433	1694	2209
434	1698	2206
435	1702	2202
436	1706	2198
437	1710	2194
438	1714	2190
439	1718	2187
440	1722	2183
441	1726	2179
442	1730	2175
443	1734	2171
444	1737	2167
445	1741	2163
446	1745	2159
447	1749	2156
448	1753	2151
449	1757	2147
450	1761	2144
451	1765	2140
452	1769	2136
453	1773	2132
454	1777	2128
455	1782	2125
456	1786	2122
457	1789	2117
458	1793	2114
459	1797	2110
460	1801	2106
461	1805	2102
462	1809	2098
463	1813	2094
464	1817	2090
465	1821	2086
466	1825	2083
467	1829	2079
468	1833	2076
469	1837	2072
470	1841	2068
471	1845	2064
472	1849	2060
473	1853	2056
474	1857	2052
475	1861	2049
476	1865	2045
477	1869	2041
478	1873	2037
479	1877	2034
480	1881	2030
481	1885	2026
482	1889	2022
483	1893	2018
484	1897	2015
485	1901	2011
486	1905	2007
487	1909	2003
488	1913	1999
489	1916	1995
490	1920	1990
491	1924	1987
492	1928	1983
493	1932	1979
494	1936	1975
495	1940	1972
496	1945	1968
497	1949	1965
498	1954	1962
499	1958	1958
500	1962	1954
501	1965	1950
502	1969	1946
503	1973	1942
504	1977	1938
505	1981	1934
506	1984	1929
507	1989	1926
508	1992	1922
509	1996	1918
510	2000	1914
511	2004	1910
512	2008	1906
513	2012	1902
514	2015	1898
515	2019	1894
516	2023	1890
517	2027	1886
518	2030	1882
519	2034	1877
520	2038	1874
521	2042	1870
522	2045	1866
523	2049	1861
524	2053	1858
525	2057	1853
526	2060	1849
527	2064	1845
528	2068	1841
529	2072	1837
530	2075	1833
531	2079	1829
532	2083	1825
533	2087	1821
534	2091	1817
535	2094	1813
536	2098	1809
537	2102	1805
538	2107	1802
539	2110	1798
540	2114	1794
541	2118	1790
542	2122	1786
543	2126	1782
544	2130	1778
545	2134	1774
546	2138	1770
547	2141	1766
548	2145	1762
549	2149	1759
550	2153	1755
551	2157	1751
552	2161	1746
553	2165	1743
554	2169	1739
555	2173	1735
556	2176	1731
557	2180	1727
558	2184	1723
559	2188	1719
560	2192	1715
561	2195	1711
562	2199	1707
563	2203	1703
564	2207	1699
565	2210	1695
566	2215	1691
567	2219	1687
568	2222	1683
569	2226	1679
570	2230	1676
571	2234	1671
572	2238	1667
573	2241	1663
574	2246	1660
575	2250	1656
576	2253	1652
577	2257	1648
578	2261	1644
579	2265	1640
580	2269	1636
581	2273	1632
582	2277	1628
583	2281	1625
584	2285	1621
585	2288	1617
586	2292	1613
587	2296	1609
588	2300	1605
589	2304	1601
590	2308	1597
591	2312	1593
592	2316	1589
593	2320	1585
594	2324	1582
595	2328	1578
596	2333	1575
597	2338	1571
598	2342	1568
599	2345	1563
600	2349	1559
601	2352	1555
602	2356	1551
